ts,node,bytes_read,bytes_written,bytes_in,bytes_out,ff_in,ff_out,queued_count,queued_bytes,ffrepo_used,content_used,prov_used,heap_used,gc_ms
1788782036,nifi-0,0,46025932800,0,0,0,0,1331,5451776,304087040,265551872,7159676928,1362377080,3428
1788782038,nifi-1,0,43353702400,0,0,0,0,947,3878912,213123072,1113587712,6668156928,1957956024,3896
1788782050,nifi-0,0,46002995200,0,0,0,0,1200,4915200,248512512,264765440,6830424064,1614346888,3513
1788782051,nifi-1,0,43488870400,0,0,0,0,1442,5906432,192675840,3134193664,6806044672,1385017400,3943
1788782062,nifi-0,0,45962035200,0,0,0,0,3400,13926400,162791424,429654016,7250903040,563555424,3557
1788782064,nifi-1,0,43460198400,0,0,0,0,1600,6553600,288096256,1809055744,6927417344,1584170440,3981
1788782076,nifi-0,0,45871104000,0,0,0,0,1400,5734400,79429632,305135616,7182221312,858244704,3638
1788782078,nifi-1,0,43575705600,0,0,0,0,1400,5734400,195035136,762576896,6731071488,2256237976,4022
1788782090,nifi-0,0,46157824000,0,0,0,0,1200,4915200,257949696,281280512,6952058880,598123640,3716
1788782091,nifi-1,0,43683840000,0,0,0,0,2800,11468800,151519232,1762131968,6700138496,856120656,4072
1788782103,nifi-0,0,46042316800,0,0,0,0,1000,4096000,155189248,181403648,7401897984,2185419408,3748
1788782105,nifi-1,0,43293900800,0,0,0,0,2442,10002432,54001664,938999808,7286030336,1909593112,4110
1788782117,nifi-0,0,46034124800,0,0,0,0,800,3276800,273940480,355729408,7297826816,2138349736,3792
1788782119,nifi-1,0,43491328000,0,0,0,0,800,3276800,224395264,863240192,6947340288,1497509696,4151
1788782131,nifi-0,0,45931724800,0,0,0,0,1200,4915200,285999104,274726912,8048869376,1823378440,3831
1788782132,nifi-1,0,43732992000,0,0,0,0,1200,4915200,163840000,1270349824,7521959936,1591937256,4230
1788782144,nifi-0,0,45977600000,0,0,0,0,1952,7995392,210763776,206307328,8172077056,2478410232,3903
